team_name,city,year,stadium,president
Athletic Club,Bilbao,1898,San Mamés,Jon Uriarte
Atlético de Madrid,Madrid,1903,Cívitas Metropolitano,Enrique Cerezo
CD Leganés,Leganés,1928,Municipal de Butarque,Jeff Luhnow
D. Alavés,Vitoria,1921,Mendizorroza,Alfonso Fernández de Trocóniz
FC Barcelona,Barcelona,1899,Spotify Camp Nou,Joan Laporta
Getafe CF,Getafe,1983,Coliseum,Ángel Torres
Girona FC,Girona,1930,Municipal de Montilivi,Delfí Geli
Levante UD,Valencia,1909,Ciutat de Valencia,Pablo Sánchez
R. Valladolid CF,Valladolid,1928,José Zorrilla,Ronaldo
Rayo Vallecano,Madrid,1924,Estadio de Vallecas,Raúl Martín Presa
RC Celta,Vigo,1923,Balaídos ,Carlos Mouriño
RCD Espanyol,Cornellá de Llobregat,1900,RCDE Stadium,Chen Yansheng
Real Betis,Sevilla,1907,Benito Villamarín,Ángel Haro
Real Madrid,Madrid,1902,Santiago Bernabéu,Florentino Pérez
Real Sociedad,Guipúzcoa,1909,Reale Arena,Jokin Aperribay
SD Eibar,Éibar,1940,Ipurúa,Amaia Gorostiza
SD Huesca,Huesca,1960,Estadio El Alcoraz,Jose Luis Ortas
Sevilla FC,Sevilla,1890,Ramón Sánchez-Pizjuán,José Castro
Valencia CF,Valencia,1919,Mestalla,Lay Hoon
Villarreal CF,Villarreal,1942,Estadio de la Cerámica,Fernando Roig
